game,date,visitor,hometeam,foul1,foul2,foul3
166,20100126,CLEM,BC,V,V,V
224,20100224,DEPAUL,CIN,H,H,V
317,20100109,MARQET,NOVA,H,H,H
214,20100228,MARQET,SETON,V,V,H
278,20100128,SETON,SFL,H,V,V
286,20100124,CIN,LOU,H,V,V
297,20100120,GTOWN,PITT,V,V,H
177,20100116,MIA,VA,H,V,H
2,20100307,MI,MIST,V,H,H
196,20091206,MIA,BC,V,H,H
185,20100113,GATECH,VA,V,V,H
85,20100109,IL,IN,V,H,H
40,20100210,NW,IA,V,H,H
28,20100220,IL,PUR,V,V,H
109,20100303,DUKE,MD,H,V,V
36,20100213,IA,PUR,V,H,V
59,20100128,WI,PUR,H,V,V
82,20100112,PSU,IL,H,V,V
199,20100306,SYR,LOU,H,H,H
336,20091230,SFL,LOU,V,H,H
198,20100306,RUT,PITT,V,V,V
315,20100109,WV,ND,V,H,H
116,20100228,CLEM,FLST,H,V,V
241,20100216,CIN,SFL,H,H,V
103,20100307,CLEM,WF,H,V,V
255,20100208,NOVA,WV,H,V,H
29,20100218,WI,MN,V,V,H
306,20100114,PROV,DEPAUL,H,H,H
5,20100307,IA,MN,V,H,H
184,20100113,MIA,VATECH,H,V,H
