id,number_of_reviews,days,room_type,price
7708860,55,633,Private room,70
15854475,2,2383,Entire home/apt,95
16350500,1,665,Entire home/apt,175
8814304,4,541,Private room,70
7698642,18,611,Private room,89
9731039,0,489,Entire home/apt,99
816907,30,1587,Entire home/apt,99
927408,24,2707,Private room,248
8760442,39,544,Private room,75
15712391,2,482,Private room,183
8532763,71,557,Private room,72
15561258,1,221,Entire home/apt,375
15179790,16,686,Entire home/apt,275
9859856,0,482,Entire home/apt,120
15634827,11,1048,Entire home/apt,130
15615870,13,334,Private room,60
842494,1,2478,Entire home/apt,150
242479,33,2002,Private room,69
15734793,43,156,Private room,40
16676068,4,110,Entire home/apt,158
15949525,2,719,Private room,120
1858492,11,1286,Entire home/apt,180
14840941,0,726,Private room,45
16338086,0,118,Entire home/apt,180
9884880,25,1186,Private room,55
4275729,0,909,Entire home/apt,100
15799983,1,1089,Entire home/apt,169
530135,28,2105,Private room,37
16687716,0,1073,Private room,90
6811778,13,661,Entire home/apt,150
10229075,2,1262,Entire home/apt,235
4232455,0,1425,Entire home/apt,400
795198,44,1789,Private room,89
3122027,7,1384,Private room,82
3958460,70,1227,Private room,100
9179751,0,520,Entire home/apt,150
9310350,27,1973,Entire home/apt,119
15599480,0,180,Private room,250
10050665,7,964,Private room,57
13668833,22,283,Entire home/apt,189
14744062,0,1487,Entire home/apt,220
17532802,0,32,Entire home/apt,100
15086143,0,198,Private room,79
16711682,1,986,Private room,60
16995892,0,487,Private room,65
7601956,24,1507,Entire home/apt,422
16488123,0,101,Private room,62
16971795,3,693,Shared room,16
7480853,58,1058,Private room,48
1936408,37,2343,Entire home/apt,199
10212843,0,746,Private room,75
17207134,0,1530,Entire home/apt,200
13742783,15,279,Entire home/apt,120
16601801,1,1233,Entire home/apt,200
9735937,0,2012,Entire home/apt,174
11190701,0,1920,Private room,39
2031051,9,1589,Private room,90
422318,121,2797,Private room,39
16100002,0,607,Entire home/apt,400
13282620,0,307,Entire home/apt,200
9217745,2,1111,Private room,50
643948,169,2234,Private room,69
10653010,13,1759,Entire home/apt,150
15508468,11,839,Shared room,70
10767935,0,476,Private room,80
15404707,7,2065,Private room,65
16738751,1,670,Private room,75
7053353,2,1335,Private room,27
9819164,0,1006,Shared room,60
8033609,86,691,Entire home/apt,119
14983453,26,426,Private room,52
16929328,4,265,Private room,60
17512126,0,34,Private room,69
9189339,5,603,Entire home/apt,75
16647703,3,87,Entire home/apt,83
35963,12,2470,Entire home/apt,85
15964139,6,1092,Private room,55
594193,84,2205,Entire home/apt,290
8860450,35,1124,Entire home/apt,190
3121011,24,1047,Shared room,55
270568,104,1963,Shared room,75
15677846,4,159,Private room,65
16348240,2,401,Entire home/apt,149
11182867,1,418,Private room,129
13782559,1,1914,Private room,55
9230698,3,1097,Private room,70
9406699,56,509,Entire home/apt,300
13485786,0,1449,Private room,150
7986666,7,1414,Entire home/apt,120
3727206,61,979,Private room,55
9844892,0,483,Entire home/apt,210
14101550,0,1410,Entire home/apt,128
14301857,11,518,Entire home/apt,99
13349046,4,1737,Entire home/apt,198
6591796,1,2063,Entire home/apt,200
13375898,5,301,Private room,45
4853870,0,1182,Entire home/apt,275
12181485,8,2096,Entire home/apt,115
6273185,6,736,Private room,145
6543312,5,990,Entire home/apt,175
12865268,15,455,Entire home/apt,165
553565,18,2156,Entire home/apt,90
13412334,1,300,Entire home/apt,100
8972426,85,1285,Shared room,60
9877776,0,516,Private room,325
908469,16,1947,Entire home/apt,240
16542661,2,320,Entire home/apt,108
10390902,1,453,Private room,75
7728553,20,607,Entire home/apt,130
8756867,5,971,Private room,69
15251349,5,956,Shared room,150
13098844,12,320,Entire home/apt,180
3125426,93,2518,Private room,175
6870029,4,1825,Entire home/apt,195
3435196,13,1010,Private room,45
3713233,7,1087,Private room,55
6479956,0,683,Private room,300
16236939,1,707,Entire home/apt,110
12147125,3,841,Entire home/apt,130
13543160,2,2711,Entire home/apt,220
6349524,0,1296,Private room,110
2670166,10,1100,Private room,75
13529652,33,332,Entire home/apt,119
7196367,3,810,Entire home/apt,180
13548278,2,1126,Entire home/apt,125
13437888,48,298,Private room,99
3325617,102,1023,Entire home/apt,105
6691367,1,1307,Entire home/apt,80
13722149,1,1320,Entire home/apt,119
9065297,6,1001,Entire home/apt,150
17351354,1,1081,Private room,75
15558926,0,504,Entire home/apt,78
16489637,0,1342,Private room,300
698132,167,1660,Entire home/apt,85
17719845,0,19,Private room,45
1056185,196,2120,Private room,65
15900172,7,276,Entire home/apt,130
6461789,50,685,Private room,55
13045618,0,2967,Entire home/apt,400
16865916,0,1564,Entire home/apt,230
9443911,31,506,Entire home/apt,330
14729863,30,303,Private room,52
4589307,43,869,Entire home/apt,167
16588515,1,609,Private room,66
12357598,4,1049,Private room,90
1970697,13,1679,Private room,67
4956896,17,1291,Entire home/apt,225
9832880,4,1167,Entire home/apt,156
10803261,2,831,Private room,200
2255340,3,1320,Entire home/apt,289
17496258,1,1366,Private room,75
1077375,104,1454,Private room,43
17418006,1,83,Entire home/apt,149
2447634,4,1135,Entire home/apt,175
10515893,34,468,Private room,69
8151726,5,580,Private room,65
814327,59,1585,Private room,81
7864877,2,652,Entire home/apt,240
15854548,1,1842,Private room,48
17821043,0,14,Entire home/apt,199
7195202,2,1727,Entire home/apt,99
13864653,8,1849,Private room,90
7434420,1,624,Entire home/apt,198
5316660,0,1019,Private room,50
813793,52,1586,Private room,119
17842957,0,1079,Private room,78
1403129,137,1354,Entire home/apt,195
12892861,4,331,Entire home/apt,150
13619818,9,1315,Private room,51
211974,26,2349,Entire home/apt,250
9709428,2,612,Private room,80
11801018,7,1262,Entire home/apt,290
17927714,0,6,Entire home/apt,399
17500232,0,252,Private room,40
3970626,32,2477,Private room,65
5771211,8,1512,Entire home/apt,200
