Age of food handlers,Sex,Years of service,Specific budget for PPE,Availability of PPEs,Availability of registration book,Order servants and costumers to practice social distancing,Link individuals with sign and symptom,Wash table cloths,"well cleaned services rooms, toilets, meeting halls","clean doors, walls, windows, tables, chairs",treat materials and equipments,"rinse brooms, brushes, and utility gloves with Bleach",chair arrangement 2 meters apart,Accessibility of covered dust bins in each class,Put  dry and liquid wastes separately,collect and dispose wastes properly,corona viruses are removed by washing with water,All people are at risk of COVID-19,"Washing hand with soap, sanitizer and water inhibit virus",wash hands before and after touching things,Being 2 meter far apart from individual prevents,The incubation period of corona virus  is 14 days,Wearing PPEs decreases the risk of transmission,Cloth mask can be reused after washing ,Wearing gloves does not replace hand washing,"It is not recommended to touch nose, mouth, eye",Surgical gloves can be reused,Washing hands with soap decreases the risk of trnsmission,Gloves and mask provide complete protection,Hand washing is unnecessary when gloves are worn,Frequent hand washing damages skin,You have a very low risk of acquiring  COVID-19,COVID-19 is like common cold,Gloving reduce the risk of COVID-19 ,Social distancing reduces COVID-19 ,Being locked down prevents COVID-19 ,Wash hands regularly,Before Contact of things,After Contact of things,Before preparing food,After preparing food,If feel dirty,Before going to outside of the home,Before entering to the home from outside,Before going to the toilet,After going to the toilet,Before donning gloves,After removing gloves,After sneezing,Show hand washing perfectly ,With water only,With plain Soap and water,With anti-bacterial soap and water,With Alcohol/Sanitizer,Why not wash hands,Use antiseptic hand rub,Wear PPEs to prevent COVID-19 
34,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,1,1
32,2,3,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,1,2,3,4,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,1,1
32,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,5,4,3,2,1,2,3,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,1,1
40,1,4,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,5,4,3,4,5,5,3,4,3,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,,1,1
32,1,10,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,4,2,2,2,2,2,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,,1,1
55,1,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,5,4,2,2,1,1,4,5,5,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,,1,1
34,1,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,5,3,1,1,1,1,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,,1,1
29,2,5,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,2,2,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,,1,1
42,1,3,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,4,3,2,1,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,,1,0
42,1,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,5,4,4,2,1,1,4,5,5,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,,1,1
