schoolid,schoolName,urban,charter,schPctnonw,schPctsped,schPctfree,year08,MathAvgScore
Dtype 1 Dnum 1 Snum 2,RIPPLESIDE ELEMENTARY,0,0,0,0.117647059,0.362745098,0,652.8
Dtype 1 Dnum 1 Snum 2,RIPPLESIDE ELEMENTARY,0,0,0,0.117647059,0.362745098,1,656.6
Dtype 1 Dnum 1 Snum 2,RIPPLESIDE ELEMENTARY,0,0,0,0.117647059,0.362745098,2,652.6
Dtype 1 Dnum 100 Snum 1,WRENSHALL ELEMENTARY,0,0,0.03030303,0.151515152,0.424242424,0,646.9
Dtype 1 Dnum 100 Snum 1,WRENSHALL ELEMENTARY,0,0,0.03030303,0.151515152,0.424242424,1,645.3
Dtype 1 Dnum 100 Snum 1,WRENSHALL ELEMENTARY,0,0,0.03030303,0.151515152,0.424242424,2,651.9
Dtype 1 Dnum 108 Snum 30,CENTRAL MIDDLE,0,0,0.076923077,0.123076923,0.261538462,0,654.7
Dtype 1 Dnum 108 Snum 30,CENTRAL MIDDLE,0,0,0.076923077,0.123076923,0.261538462,1,658.5
Dtype 1 Dnum 108 Snum 30,CENTRAL MIDDLE,0,0,0.076923077,0.123076923,0.261538462,2,659.7
Dtype 1 Dnum 11 Snum 121,SANDBURG MIDDLE,1,0,0.097744361,0.082706767,0.248120301,0,656.4
Dtype 1 Dnum 11 Snum 121,SANDBURG MIDDLE,1,0,0.097744361,0.082706767,0.248120301,1,656.8
Dtype 1 Dnum 11 Snum 121,SANDBURG MIDDLE,1,0,0.097744361,0.082706767,0.248120301,2,659.9
Dtype 1 Dnum 11 Snum 193,OAK VIEW MIDDLE,1,0,0.053789731,0.095354523,0.141809291,0,657.7
Dtype 1 Dnum 11 Snum 193,OAK VIEW MIDDLE,1,0,0.053789731,0.095354523,0.141809291,1,658.2
Dtype 1 Dnum 11 Snum 193,OAK VIEW MIDDLE,1,0,0.053789731,0.095354523,0.141809291,2,659.8
Dtype 1 Dnum 11 Snum 195,ROOSEVELT MIDDLE,1,0,0.123417722,0.088607595,0.240506329,0,655.9
Dtype 1 Dnum 11 Snum 195,ROOSEVELT MIDDLE,1,0,0.123417722,0.088607595,0.240506329,1,659.1
Dtype 1 Dnum 11 Snum 195,ROOSEVELT MIDDLE,1,0,0.123417722,0.088607595,0.240506329,2,660.3
Dtype 1 Dnum 11 Snum 3,FRED MOORE MIDDLE SCHOOL,1,0,0.196319018,0.104294479,0.380368098,0,652
Dtype 1 Dnum 11 Snum 3,FRED MOORE MIDDLE SCHOOL,1,0,0.196319018,0.104294479,0.380368098,1,651.8
Dtype 1 Dnum 11 Snum 3,FRED MOORE MIDDLE SCHOOL,1,0,0.196319018,0.104294479,0.380368098,2,656.5
Dtype 1 Dnum 11 Snum 4,COON RAPIDS MIDDLE SCHOOL,1,0,0.209359606,0.123152709,0.384236453,0,656.1
Dtype 1 Dnum 11 Snum 4,COON RAPIDS MIDDLE SCHOOL,1,0,0.209359606,0.123152709,0.384236453,1,657.4
Dtype 1 Dnum 11 Snum 4,COON RAPIDS MIDDLE SCHOOL,1,0,0.209359606,0.123152709,0.384236453,2,658.8
Dtype 1 Dnum 11 Snum 6,JACKSON MIDDLE,1,0,0.271375465,0.074349442,0.286245353,0,654.9
Dtype 1 Dnum 11 Snum 6,JACKSON MIDDLE,1,0,0.271375465,0.074349442,0.286245353,1,655.3
Dtype 1 Dnum 11 Snum 6,JACKSON MIDDLE,1,0,0.271375465,0.074349442,0.286245353,2,656.3
Dtype 1 Dnum 11 Snum 90,NORTHDALE MIDDLE,1,0,0.236503856,0.110539846,0.362467866,0,654.4
Dtype 1 Dnum 11 Snum 90,NORTHDALE MIDDLE,1,0,0.236503856,0.110539846,0.362467866,1,656.1
Dtype 1 Dnum 11 Snum 90,NORTHDALE MIDDLE,1,0,0.236503856,0.110539846,0.362467866,2,657.1
Dtype 1 Dnum 110 Snum 220,CLEARWATER MIDDLE,1,0,0.075697211,0.143426295,0.103585657,0,653.7
Dtype 1 Dnum 110 Snum 220,CLEARWATER MIDDLE,1,0,0.075697211,0.143426295,0.103585657,1,655
Dtype 1 Dnum 110 Snum 220,CLEARWATER MIDDLE,1,0,0.075697211,0.143426295,0.103585657,2,655.6
Dtype 1 Dnum 111 Snum 841,WATERTOWN-MAYER MIDDLE,1,0,0.053571429,0.098214286,0.25,0,654.2
Dtype 1 Dnum 111 Snum 841,WATERTOWN-MAYER MIDDLE,1,0,0.053571429,0.098214286,0.25,1,647.5
Dtype 1 Dnum 111 Snum 841,WATERTOWN-MAYER MIDDLE,1,0,0.053571429,0.098214286,0.25,2,657
Dtype 1 Dnum 112 Snum 61,CHASKA MIDDLE SCHOOL EAST,1,0,0.085427136,0.085427136,0.10552763800000001,0,656.4
Dtype 1 Dnum 112 Snum 61,CHASKA MIDDLE SCHOOL EAST,1,0,0.085427136,0.085427136,0.10552763800000001,1,655.9
Dtype 1 Dnum 112 Snum 61,CHASKA MIDDLE SCHOOL EAST,1,0,0.085427136,0.085427136,0.10552763800000001,2,660.1
Dtype 1 Dnum 112 Snum 62,CHASKA MIDDLE SCHOOL WEST,1,0,0.111111111,0.102222222,0.137777778,0,659.1
Dtype 1 Dnum 112 Snum 62,CHASKA MIDDLE SCHOOL WEST,1,0,0.111111111,0.102222222,0.137777778,1,657.5
Dtype 1 Dnum 112 Snum 62,CHASKA MIDDLE SCHOOL WEST,1,0,0.111111111,0.102222222,0.137777778,2,659.8
Dtype 1 Dnum 112 Snum 63,PIONEER RIDGE MIDDLE SCHOOL,1,0,0.104545455,0.122727273,0.15,0,NA
Dtype 1 Dnum 112 Snum 63,PIONEER RIDGE MIDDLE SCHOOL,1,0,0.104545455,0.122727273,0.15,1,NA
Dtype 1 Dnum 112 Snum 63,PIONEER RIDGE MIDDLE SCHOOL,1,0,0.104545455,0.122727273,0.15,2,659.5
Dtype 1 Dnum 113 Snum 10,W.H.A. ELEMENTARY,0,0,0.161290323,0.161290323,0.467741935,0,NA
Dtype 1 Dnum 113 Snum 10,W.H.A. ELEMENTARY,0,0,0.161290323,0.161290323,0.467741935,1,651.7
Dtype 1 Dnum 113 Snum 10,W.H.A. ELEMENTARY,0,0,0.161290323,0.161290323,0.467741935,2,653.8
Dtype 1 Dnum 115 Snum 20,CASS LAKE-BENA MIDDLE SCHOOL,0,0,0.92,0.266666667,0.786666667,0,649.6
Dtype 1 Dnum 115 Snum 20,CASS LAKE-BENA MIDDLE SCHOOL,0,0,0.92,0.266666667,0.786666667,1,650.4
Dtype 1 Dnum 115 Snum 20,CASS LAKE-BENA MIDDLE SCHOOL,0,0,0.92,0.266666667,0.786666667,2,651.7
Dtype 1 Dnum 116 Snum 10,PILLAGER ELEMENTARY,0,0,0.01754386,0.175438596,0.50877193,0,645
Dtype 1 Dnum 116 Snum 10,PILLAGER ELEMENTARY,0,0,0.01754386,0.175438596,0.50877193,1,650.4
Dtype 1 Dnum 116 Snum 10,PILLAGER ELEMENTARY,0,0,0.01754386,0.175438596,0.50877193,2,649.7
Dtype 1 Dnum 118 Snum 10,REMER ELEMENTARY,0,0,0.138888889,0.222222222,0.638888889,0,663.6
Dtype 1 Dnum 118 Snum 10,REMER ELEMENTARY,0,0,0.138888889,0.222222222,0.638888889,1,663
Dtype 1 Dnum 118 Snum 10,REMER ELEMENTARY,0,0,0.138888889,0.222222222,0.638888889,2,663.7
Dtype 1 Dnum 12 Snum 166,CENTENNIAL MIDDLE,1,0,0.086,0.144,0.182,0,656.5
Dtype 1 Dnum 12 Snum 166,CENTENNIAL MIDDLE,1,0,0.086,0.144,0.182,1,655
Dtype 1 Dnum 12 Snum 166,CENTENNIAL MIDDLE,1,0,0.086,0.144,0.182,2,658.8
Dtype 1 Dnum 129 Snum 30,MONTEVIDEO MIDDLE,1,0,0.076923077,0.120879121,0.43956044,0,648.2
